Inches,Price_euros,Ram (GB),Weight (kg),HDD (GB),SSD (GB),Hybrid (GB),Flash Storage (GB),Total_Storage (GB),Screen_Width,Screen_Height,Touchscreen,Cpu_Speed_GHz,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,OpSys_Clean_Chrome OS,OpSys_Clean_Linux,OpSys_Clean_MacOS,OpSys_Clean_No OS,OpSys_Clean_Windows,Cpu_Brand_Intel,Cpu_Brand_Samsung,Gpu_Brand_ARM,Gpu_Brand_Intel,Gpu_Brand_Nvidia,Cpu_Name_TE,Gpu_Name_TE,PPI,Is_High_RAM,Is_SSD,Cpu_Performance_Class_Num,Gpu_Performance_Class_Num,Gpu_Dedicated
15.6,1298.0,8,1.88,0.0,512.0,0.0,0.0,512.0,1920,1080,0,1.9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,1452.98,1205.7682352941176,141.21199808219862,0,1,1,1,0
17.3,896.0,8,2.5,1024.0,0.0,0.0,0.0,1024.0,1920,1080,0,1.6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,944.0380555555556,1047.3028,127.33567457123111,0,0,0,0,1
15.6,244.99,4,1.89,0.0,0.0,0.0,64.0,64.0,1920,1080,0,1.44,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,244.99,397.84379310344826,141.21199808219862,0,0,0,0,0
14.0,199.0,2,1.65,0.0,0.0,0.0,32.0,32.0,1366,768,0,1.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,199.0,282.798,111.93520355955211,0,0,0,0,1
17.3,439.0,4,2.71,500.0,0.0,0.0,0.0,500.0,1920,1080,0,2.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,403.81125,864.4795121951221,127.33567457123111,0,0,1,0,1
13.3,1869.0,16,1.2,0.0,512.0,0.0,0.0,512.0,3200,1800,1,1.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,1206.54,1205.7682352941176,276.053530085501,1,1,1,1,0
13.3,998.0,8,1.35,0.0,0.0,0.0,256.0,256.0,1440,900,0,1.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,1391.9483333333335,1022.728,127.67794013309688,0,0,1,0,0
14.0,249.0,4,1.44,0.0,0.0,0.0,64.0,64.0,1366,768,0,1.1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,322.1912121212121,333.9823076923077,111.93520355955211,0,0,0,0,0
15.6,367.0,4,2.1,1024.0,0.0,0.0,0.0,1024.0,1366,768,0,2.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,581.75,1141.0898226950355,100.45466986113651,0,0,1,0,0
17.3,979.0,8,2.8,1024.0,128.0,0.0,0.0,1152.0,1920,1080,0,1.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,944.0380555555556,864.4795121951221,127.33567457123111,0,1,0,0,1
15.6,488.69,4,1.86,1024.0,0.0,0.0,0.0,1024.0,1366,768,0,2.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,919.3180829015544,1141.0898226950355,100.45466986113651,0,0,1,0,0
15.6,879.0,8,2.1,0.0,256.0,0.0,0.0,256.0,1920,1080,0,1.6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,944.0380555555556,1047.3028,141.21199808219862,0,1,0,0,1
15.6,389.0,4,2.0,1024.0,0.0,0.0,0.0,1024.0,1920,1080,0,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,492.6088888888889,1141.0898226950355,141.21199808219862,0,0,1,0,0
15.6,1499.0,16,2.65,1024.0,256.0,0.0,0.0,1280.0,1920,1080,0,2.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,1762.351224489796,1816.698125,141.21199808219862,1,1,1,1,1
15.6,522.99,8,2.3,1024.0,0.0,0.0,0.0,1024.0,1366,768,0,2.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,919.3180829015544,935.683023255814,100.45466986113651,0,0,1,0,1
15.6,682.0,4,2.2,0.0,256.0,0.0,0.0,256.0,1920,1080,0,1.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,944.0380555555556,1205.7682352941176,141.21199808219862,0,1,0,1,0
17.3,999.0,12,2.77,1024.0,0.0,0.0,0.0,1024.0,1920,1080,1,1.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,944.0380555555556,1231.0,127.33567457123111,0,0,0,1,1
13.3,1419.0,8,1.37,0.0,256.0,0.0,0.0,256.0,2560,1600,0,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,1391.9483333333335,1609.0,226.98300468106115,0,1,1,1,0
15.6,369.0,4,2.2,0.0,128.0,0.0,0.0,128.0,1366,768,0,2.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,492.6088888888889,1051.0203783783784,100.45466986113651,0,1,1,0,0
17.3,1299.0,8,3.2,1024.0,256.0,0.0,0.0,1280.0,1920,1080,0,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1682.3333333333333,1698.2,127.33567457123111,0,1,2,1,1
15.6,639.0,4,2.3,0.0,256.0,0.0,0.0,256.0,1920,1080,0,2.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,919.3180829015544,597.7236363636364,141.21199808219862,0,1,1,0,1
17.3,466.0,4,2.8,1024.0,0.0,0.0,0.0,1024.0,1366,768,0,1.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,429.345,612.5227777777777,90.58340172449303,0,0,0,0,1
